instruction,question,answer,case_number,year,appeal_status,status
أنت مستشار قانوني سعودي، متخصص في الدعاوى (نزاع تجاري - عقد مقاولة) وتحديداً في مسائل (يجوز للمدعي ترك الخصومة بتبليغ يوجهه إلى خصمه أو تقرير منه لدى الكاتب المختص في المحكمة أو ببيان صريح في مذكرة موقع عليها منه أو من وكيله، مع اطلاع خصمه عليها، أو بإبداء الطلب شفهياً في الجلسة وإثباته في ضبطها، ولا يكون الترك بعد إبداء المدعى عليه دفوعه إلا بقبوله، مع أحقية المدعي في إقامة موضوع الدعوى مرة أخرى متى شاء.). تقدم إجابات دقيقة.,إذا كان عميل قد رفع دعوى تجارية وقدم المدعى عليه دفوعه، ثم قرر العميل سحب الدعوى مؤقتًا لإعادة ترتيب أوراقه، فما هو الشرط الأساسي الذي يجب توافره لإتمام هذا السحب قانونيًا؟,"الشرط الأساسي لسحب الدعوى (ترك الخصومة) بعد أن يكون المدعى عليه قد أبدى دفوعه هو موافقة المدعى عليه على هذا الترك.

(المصدر: حكم رقم ٤٥٧٠٥٢٩١٠٨ لعام ١٤٤٥هـ | نسبة تأكيد الربط: 53.61%)",٤٥٧٠٥٢٩١٠٨,١٤٤٥,,pending
أنت مستشار قانوني سعودي، متخصص في الدعاوى (نزاع تجاري - عقد مقاولة) وتحديداً في مسائل (يجوز للمدعي ترك الخصومة بتبليغ يوجهه إلى خصمه أو تقرير منه لدى الكاتب المختص في المحكمة أو ببيان صريح في مذكرة موقع عليها منه أو من وكيله، مع اطلاع خصمه عليها، أو بإبداء الطلب شفهياً في الجلسة وإثباته في ضبطها، ولا يكون الترك بعد إبداء المدعى عليه دفوعه إلا بقبوله، مع أحقية المدعي في إقامة موضوع الدعوى مرة أخرى متى شاء.). تقدم إجابات دقيقة.,ما هو الأثر الإجرائي المترتب على قرار المحكمة بإثبات ترك المدعي للخصومة فيما يخص حقه في إعادة رفع الدعوى؟,"يترتب على إثبات ترك المدعي للخصومة أحقيته في إقامة موضوع الدعوى مرة أخرى متى شاء، حيث أن ترك الخصومة ينهي الإجراءات القضائية الحالية دون أن يسقط الحق الأصلي للمدعي.

(المصدر: حكم رقم ٤٥٧٠٥٢٩١٠٨ لعام ١٤٤٥هـ | نسبة تأكيد الربط: 53.61%)",٤٥٧٠٥٢٩١٠٨,١٤٤٥,,pending
أنت مستشار قانوني سعودي، متخصص في الدعاوى (منازعة تجارية - مطالبة مالية بعقد توريد) وتحديداً في مسائل (حق المدعي في ترك الخصومة وإجراءاته مع الاحتفاظ بحق المطالبة). تقدم إجابات دقيقة.,ما هي الحالات التي يجوز فيها للمدعي ترك الخصومة وفقاً لنظام المرافعات الشرعية؟,"يجوز للمدعي ترك الخصومة بتبليغ يوجهه إلى خصمه، أو بتقرير منه لدى الكاتب المختص في المحكمة، أو ببيان صريح في مذكرة موقع عليها منه أو من وكيله مع اطلاع خصمه عليها، أو بإبداء الطلب شفهيًا في الجلسة وإثباته في ضبطها.

(المصدر: حكم رقم ٤٦٧٠٠٧٢٨٦٧ لعام ١٤٤٦هـ | نسبة تأكيد الربط: 41.41%)",٤٦٧٠٠٧٢٨٦٧,١٤٤٦,,pending
أنت مستشار قانوني سعودي، متخصص في الدعاوى (منازعة تجارية - مطالبة مالية بعقد توريد) وتحديداً في مسائل (حق المدعي في ترك الخصومة وإجراءاته مع الاحتفاظ بحق المطالبة). تقدم إجابات دقيقة.,أنا مدعٍ في قضية تجارية، وقد بدأت مفاوضات صلح مع المدعى عليه وأرغب في إيقاف الدعوى مؤقتًا مع الاحتفاظ بحقي في المطالبة لاحقًا إذا لم يتم الصلح. ما هو الإجراء القانوني الذي يمكنني اتخاذه؟,"يمكنك طلب ترك الخصومة في الدعوى القضائية، مع إثبات احتفاظك بحق المطالبة في حال عدم إتمام الصلح. هذا الإجراء يسمح بإنهاء الدعوى الحالية دون التنازل عن حقك الأصلي في المطالبة، مما يتيح لك فرصة لإعادة رفع الدعوى لاحقاً إذا فشلت مفاوضات الصلح.

(المصدر: حكم رقم ٤٦٧٠٠٧٢٨٦٧ لعام ١٤٤٦هـ | نسبة تأكيد الربط: 41.41%)",٤٦٧٠٠٧٢٨٦٧,١٤٤٦,,pending
أنت مستشار قانوني سعودي، متخصص في الدعاوى (منازعة تجارية - مطالبة مالية بعقد توريد) وتحديداً في مسائل (حق المدعي في ترك الخصومة وإجراءاته مع الاحتفاظ بحق المطالبة). تقدم إجابات دقيقة.,ما هي الخطوات الإجرائية التي تتخذها المحكمة عند طلب المدعي ترك الخصومة شفهياً في الجلسة؟,"عند إبداء المدعي طلب ترك الخصومة شفهيًا في الجلسة، تقوم الدائرة بإثبات هذا الطلب في ضبط الجلسة. وبناءً على ذلك، تصدر المحكمة حكمها بإثبات انقضاء الدعوى، مع مراعاة أي شروط يذكرها المدعي مثل الاحتفاظ بحقه في المطالبة.

(المصدر: حكم رقم ٤٦٧٠٠٧٢٨٦٧ لعام ١٤٤٦هـ | نسبة تأكيد الربط: 41.41%)",٤٦٧٠٠٧٢٨٦٧,١٤٤٦,,pending
أنت مستشار قانوني سعودي، متخصص في الدعاوى (نزاع تجاري - مطالبة مالية) وتحديداً في مسائل (إثبات الالتزامات التجارية بالقرائن المستفادة من المستندات الكتابية وسكوت المدين). تقدم إجابات دقيقة.,كيف يمكن إثبات الالتزامات التجارية في حال وجود مستندات كتابية وسكوت المدين عن الرد؟,"يمكن إثبات الالتزامات التجارية بالقرائن المستفادة من المستندات الكتابية المقدمة، ويعتبر سكوت المدين أو تغيبه عن الرد أو الإنكار قرينة مؤيدة لصحة هذه المستندات والمطالبة بها.

(المصدر: حكم رقم 4570092541 لعام 1445هـ | نسبة تأكيد الربط: 21.47%)",4570092541,1445,,pending
أنت مستشار قانوني سعودي، متخصص في الدعاوى (نزاع تجاري - مطالبة مالية) وتحديداً في مسائل (إثبات الالتزامات التجارية بالقرائن المستفادة من المستندات الكتابية وسكوت المدين). تقدم إجابات دقيقة.,قمت بتوريد بضاعة لتاجر آخر، ولدي فواتير وكشوف حساب موقعة ومختومة من قبله، لكنه لم يسدد المبلغ وتغيب عن جميع الجلسات القضائية رغم تبلغه. هل هذه المستندات وغيابه كافيان للحكم لي؟,"نعم، في المحاكم التجارية، تُعد المستندات الكتابية الموقعة والمختومة من المدين بينة قوية. وغياب المدين عن الجلسات القضائية مع تبلغه وعدم تقديمه ما يدحض الدعوى، يُعزز من قوة هذه المستندات ويُعتبر قرينة على صحة المطالبة، مما يزيد من فرص صدور حكم لصالحك.

(المصدر: حكم رقم 4570092541 لعام 1445هـ | نسبة تأكيد الربط: 21.47%)",4570092541,1445,,pending
أنت مستشار قانوني سعودي، متخصص في الدعاوى (نزاع تجاري - مطالبة مالية) وتحديداً في مسائل (إثبات الالتزامات التجارية بالقرائن المستفادة من المستندات الكتابية وسكوت المدين). تقدم إجابات دقيقة.,ما هي الخطوات التي تتخذها المحكمة التجارية عند تقديم المدعي لمستندات تثبت المديونية وتغيب المدعى عليه عن الجلسات؟,"تقوم المحكمة بالتحقق من صحة التبليغ للمدعى عليه. وفي حال ثبوت تبلغه وتغيبه دون عذر، فإنها تسير في الدعوى وتفصل فيها بحكم حضوري، معتمدة على المستندات المقدمة من المدعي، وتعتبر سكوت المدعى عليه وغيابه قرينة على صحة تلك المستندات والمطالبة.

(المصدر: حكم رقم 4570092541 لعام 1445هـ | نسبة تأكيد الربط: 21.47%)",4570092541,1445,,pending
أنت مستشار قانوني سعودي، متخصص في الدعاوى (منازعة تجارية - مطالبة مالية (أجرة مولدات كهربائية)) وتحديداً في مسائل (عبء إثبات صحة التوقيع على المحررات العادية عند إنكار المدعى عليه لها). تقدم إجابات دقيقة.,ما هو الأثر القانوني لإنكار المدعى عليه صحة التوقيع على الفواتير المقدمة كبينة في دعوى مطالبة مالية؟,"عند إنكار المدعى عليه صراحة صحة التوقيع المنسوب إليه على الفواتير أو أي محرر عادي، فإن هذا الإنكار يرفع حجية المحرر، ويصبح على المدعي عبء إثبات صحة التوقيع بوسائل الإثبات المقررة قانوناً، وإلا رُفضت دعواه لعدم كفاية البينة.

(المصدر: حكم رقم ٤٥٧١١٣٣٣٨٥ لعام ١٤٤٥هـ | نسبة تأكيد الربط: 21.39%)",٤٥٧١١٣٣٣٨٥,١٤٤٥,,pending
أنت مستشار قانوني سعودي، متخصص في الدعاوى (منازعة تجارية - مطالبة مالية (أجرة مولدات كهربائية)) وتحديداً في مسائل (عبء إثبات صحة التوقيع على المحررات العادية عند إنكار المدعى عليه لها). تقدم إجابات دقيقة.,أنا صاحب شركة قمت بتأجير معدات لشركة أخرى، ولدي فواتير موقعة من ممثلهم تثبت استلامهم للمعدات والمبلغ المستحق. إذا أنكرت الشركة المدعى عليها صحة التوقيع على هذه الفواتير، فما هي الخطوات التي يجب أن أتخذها لضمان حقي؟,"في هذه الحالة، وبعد إنكار المدعى عليها صحة التوقيع، يقع عليك عبء إثبات صحة هذا التوقيع. يمكنك طلب إحالة التوقيع للخبرة الفنية (خطاط) لمضاهاته بتوقيعات أخرى ثابتة للممثل المزعوم، أو تقديم أي بينات أخرى تدعم صحة التوقيع أو تثبت العلاقة التعاقدية واستلام المعدات والمبلغ المستحق بطرق أخرى (مثل شهادة الشهود، مراسلات إلكترونية، حوالات بنكية سابقة، أو أي إقرار سابق).

(المصدر: حكم رقم ٤٥٧١١٣٣٣٨٥ لعام ١٤٤٥هـ | نسبة تأكيد الربط: 21.39%)",٤٥٧١١٣٣٣٨٥,١٤٤٥,,pending
أنت مستشار قانوني سعودي، متخصص في الدعاوى (منازعة تجارية - مطالبة مالية (أجرة مولدات كهربائية)) وتحديداً في مسائل (عبء إثبات صحة التوقيع على المحررات العادية عند إنكار المدعى عليه لها). تقدم إجابات دقيقة.,ما هي الإجراءات القضائية المتبعة في المحكمة التجارية عند دفع المدعى عليه بعدم صحة التوقيع على مستند عادي مقدم من المدعي؟,"عند دفع المدعى عليه بعدم صحة التوقيع على مستند عادي، تقوم الدائرة القضائية أولاً بالتحقق من صراحة الإنكار. إذا كان الإنكار صريحاً، فإنها تطلب من المدعي تقديم بينته على صحة التوقيع. قد يشمل ذلك طلب إحالة المستند للخبرة الفنية (مضاهاة الخطوط والتواقيع) أو تقديم بينات أخرى. وفي حال عجز المدعي عن إثبات صحة التوقيع، فإن الدائرة قد ترفض الدعوى المتعلقة بهذا المستند لعدم كفاية البينة.

(المصدر: حكم رقم ٤٥٧١١٣٣٣٨٥ لعام ١٤٤٥هـ | نسبة تأكيد الربط: 21.39%)",٤٥٧١١٣٣٣٨٥,١٤٤٥,,pending
أنت مستشار قانوني سعودي، متخصص في الدعاوى (منازعات تجارية - شراكة ومضاربة) وتحديداً في مسائل (يجب على الشريك المضارب الإفصاح عن مستندات الشراكة ومآلها للشريك الآخر، وتزول هذه المسؤولية عن الفترة اللاحقة لانتهاء وكالته أو إدارته للشراكة، ما لم يثبت خلاف ذلك.). تقدم إجابات دقيقة.,ما هو نطاق التزام الشريك المضارب بالإفصاح عن مستندات الشراكة ومآلها؟,"يلتزم الشريك المضارب بالإفصاح عن مستندات الشراكة ومآلها للشريك الآخر، ويشمل ذلك رأس المال والأرباح والمبالغ المحصلة والمتعثرة، ويكون هذا الالتزام سارياً طوال فترة إدارته للشراكة.

(المصدر: حكم رقم 4570717264 لعام 1445هـ | نسبة تأكيد الربط: 26.15%)",4570717264,1445,,pending
أنت مستشار قانوني سعودي، متخصص في الدعاوى (منازعات تجارية - شراكة ومضاربة) وتحديداً في مسائل (يجب على الشريك المضارب الإفصاح عن مستندات الشراكة ومآلها للشريك الآخر، وتزول هذه المسؤولية عن الفترة اللاحقة لانتهاء وكالته أو إدارته للشراكة، ما لم يثبت خلاف ذلك.). تقدم إجابات دقيقة.,أنا شريك في مضاربة لبيع وشراء السيارات، وقد انتهت وكالة شريكي المضارب منذ فترة. هل يحق لي مطالبته بالإفصاح عن تفاصيل الأرباح والمبالغ المتعثرة بعد تاريخ انتهاء وكالته؟,"لا يحق لك مطالبة شريكك بالإفصاح عن تفاصيل الأرباح والمبالغ المتعثرة للفترة اللاحقة لتاريخ انتهاء وكالته، ما لم يكن هناك اتفاق آخر أو دليل يثبت استمرار إدارته أو مسؤوليته بعد ذلك التاريخ.

(المصدر: حكم رقم 4570717264 لعام 1445هـ | نسبة تأكيد الربط: 26.15%)",4570717264,1445,,pending
أنت مستشار قانوني سعودي، متخصص في الدعاوى (منازعات تجارية - شراكة ومضاربة) وتحديداً في مسائل (يجب على الشريك المضارب الإفصاح عن مستندات الشراكة ومآلها للشريك الآخر، وتزول هذه المسؤولية عن الفترة اللاحقة لانتهاء وكالته أو إدارته للشراكة، ما لم يثبت خلاف ذلك.). تقدم إجابات دقيقة.,في دعوى الإفصاح عن مستندات الشراكة، ما هي الإجراءات التي تتخذها المحكمة عند إقرار المدعي بتحقق جزء من طلبه؟,"إذا أقر المدعي بتحقق جزء من طلبه بالإفصاح حتى تاريخ معين، فإن المحكمة تثبت الإفصاح عن تلك الفترة، وتنظر في بقية الطلب بناءً على دفوع المدعى عليه، مثل انتهاء وكالته أو عدم قدرته على الإفصاح عن الفترة اللاحقة، وقد تقضي برفض الجزء المتبقي من الطلب إذا ثبتت هذه الدفوع.

(المصدر: حكم رقم 4570717264 لعام 1445هـ | نسبة تأكيد الربط: 26.15%)",4570717264,1445,,pending
أنت مستشار قانوني سعودي، متخصص في الدعاوى (دعوى تعويض عن أضرار التقاضي) وتحديداً في مسائل (يُحكم بالتعويض عن الأضرار المادية والمعنوية، بما في ذلك مصاريف التقاضي، إذا ثبت الخطأ والضرر ووجود علاقة سببية بينهما، وتراعي المحكمة في تقدير التعويض جسامة الضرر ومقدار المبلغ المحكوم به ومماطلة المحكوم عليه والعرف.). تقدم إجابات دقيقة.,ما هي الأركان الأساسية التي يجب توافرها للحكم بالتعويض عن الضرر وفقاً لنظام المعاملات المدنية؟,"للحكم بالتعويض، يجب أن تتحقق ثلاثة أركان أساسية وهي: ثبوت الخطأ الذي ارتكبه المتسبب بالضرر، وثبوت الضرر الذي لحق بالغير، ووجود علاقة سببية مباشرة بين هذا الخطأ والضرر الواقع.

(المصدر: حكم رقم ٤٥٧١٣٣٠٧٧٣ لعام ١٤٤٥هـ | نسبة تأكيد الربط: 32.19%)",٤٥٧١٣٣٠٧٧٣,١٤٤٥,,pending
أنت مستشار قانوني سعودي، متخصص في الدعاوى (دعوى تعويض عن أضرار التقاضي) وتحديداً في مسائل (يُحكم بالتعويض عن الأضرار المادية والمعنوية، بما في ذلك مصاريف التقاضي، إذا ثبت الخطأ والضرر ووجود علاقة سببية بينهما، وتراعي المحكمة في تقدير التعويض جسامة الضرر ومقدار المبلغ المحكوم به ومماطلة المحكوم عليه والعرف.). تقدم إجابات دقيقة.,أنا صاحب شركة، وقد اضطررت لرفع دعوى قضائية سابقة ضد عميل مماطل لاستخلاص مستحقاتي، وتكبدت مصاريف تقاضي وأضراراً بسبب تأخره. هل يمكنني المطالبة بتعويض عن هذه الأضرار؟,"نعم، إذا ثبت للمحكمة أن مماطلة المدعى عليه في سداد مستحقاتك قد تسببت لك بضرر وأحوجتك للجوء إلى القضاء لاستخلاص حقك، وثبتت العلاقة السببية بين المماطلة (الخطأ) والأضرار التي لحقت بك، فيمكنك المطالبة بالتعويض عن أضرار التقاضي هذه.

(المصدر: حكم رقم ٤٥٧١٣٣٠٧٧٣ لعام ١٤٤٥هـ | نسبة تأكيد الربط: 32.19%)",٤٥٧١٣٣٠٧٧٣,١٤٤٥,,pending
أنت مستشار قانوني سعودي، متخصص في الدعاوى (دعوى تعويض عن أضرار التقاضي) وتحديداً في مسائل (يُحكم بالتعويض عن الأضرار المادية والمعنوية، بما في ذلك مصاريف التقاضي، إذا ثبت الخطأ والضرر ووجود علاقة سببية بينهما، وتراعي المحكمة في تقدير التعويض جسامة الضرر ومقدار المبلغ المحكوم به ومماطلة المحكوم عليه والعرف.). تقدم إجابات دقيقة.,ما هي العوامل التي تراعيها المحكمة عند تقدير مبلغ التعويض عن الأضرار المادية والمعنوية، بما في ذلك مصاريف التقاضي؟,"تراعي المحكمة في تقدير التعويض عدة عوامل منها: جسامة الضرر الذي لحق بالمدعي، ومقدار المبلغ المحكوم به في القضية الأصلية، ومماطلة المحكوم عليه، والعرف أو العادة المستقرة، بالإضافة إلى رأي الخبير إذا اقتضى الأمر ذلك.

(المصدر: حكم رقم ٤٥٧١٣٣٠٧٧٣ لعام ١٤٤٥هـ | نسبة تأكيد الربط: 32.19%)",٤٥٧١٣٣٠٧٧٣,١٤٤٥,,pending
أنت مستشار قانوني سعودي، متخصص في الدعاوى (مطالبة مالية ناشئة عن عقد بيع تجاري) وتحديداً في مسائل (الالتزام بسداد الديون الثابتة). تقدم إجابات دقيقة.,ما هو الأصل القانوني في الديون الثابتة في ذمة المدين؟,"الأصل في الديون الثابتة في الذمة هو عدم البراءة منها، ويلزم المدين بسدادها ما لم يثبت براءته.

(المصدر: حكم رقم 4570099295 لعام 1445هـ | نسبة تأكيد الربط: 19.69%)",4570099295,1445,,pending
